id,name,elements,hmin,hmax,dmeas,dmeas2,colour,csystem,discovery_year,entrytype
31,Aegirine,"Fe,Na,Si,O",6,6,3.5,3.6,"Dark green to greenish black, reddish brown, black",Monoclinic,1821,0
32,Aegirine-augite,"Al,Ca,Fe,Mg,Na,Si,O",6,6,0,0,,Monoclinic,1892,0
33,Aenigmatite,"Fe,Na,Si,Ti,O",5.5,6,0,0,"Velvet-black",Triclinic,1865,0
34,Aerinite,"Al,Ca,Fe,Mg,Na,Si,O,C,H",3,3,0,0,"Blue to blue-green",Trigonal,1876,0
36,Aerugite,"As,Ni,O",4,4,5.85,5.85,"Dark grass-green, blue-green, pale brown.",Trigonal,1858,0
37,Aeschynite-(Ce),"Ca,Ce,Fe,Nb,Th,Ti,O,H",5,6,5.19,5.19,"Black, brown, light brown to yellow",Orthorhombic,,0
38,Aeschynite-(Nd),"Ca,Nb,Nd,Ti,O,H",5,6,4.6,5.04,"Dark to pale brown, brownish black",Orthorhombic,,0
39,Aeschynite-(Y),"Ca,Nb,Th,Ti,O,H,Y",5,6,4.82,4.93,"Pale yellow, yellow-orange, pale greenish yellow, black, brownish black",Orthorhombic,,0
40,Aeschynite,"",,,0,0,,,,0
41,Afghanite,"Al,Ca,Cl,Na,Si,O,K,S",5.5,6,2.55,2.55,"White, light blue, dark blue",Trigonal,1964,0
42,Afwillite,"Ca,Si,O,H",3,4,2.630,2.630,"Colourless, white; rarely blue",Monoclinic,1925,0
43,Agardite-(Nd),"As,Cu,Nd,O,H",3,4,0,0,"Grass-green, greenish, greenish-blue",Hexagonal,,0
44,Agardite-(Y),"As,Cu,O,H,Y",3,4,3.61,3.72,"bluish green to yellow green",Hexagonal,1968,0
45,Agalmatolite,"Al,Si,O,K,H",2,3,2.4,2.9,"White, red, yellow, grey, green, brown",,,0
48,Agardite-(Ce),"As,Ce,Cu,O,H",3,4,3.7,3.7,"Light green, yellowish green",Hexagonal,,0
49,Agardite-(Dy),"As,Cu,Dy,La,O,H",3,4,0,0,"Grass green",Hexagonal,,0
50,Agardite-(La),"As,Cu,La,O,H",3,4,3.65,3.65,"Grass-green to dull green, yellowish green to intense bluish green, rarely nearly colourless.",Hexagonal,1980,0
56,Agramite,"",,,0,0,,,,0
57,Agrellite,"Ca,Na,Si,O,F",5.5,5.5,2.902,2.902,"White to greyish or greenish white.",Triclinic,,0
58,Agrinierite,"Ca,Sr,O,K,H,U",,,5.7,5.7,"Orange",Monoclinic,,0
59,Aguilarite,"Ag,Se,S",2.5,2.5,7.40,7.53,"Bright lead-gray on fresh surfaces",Monoclinic,1891,0
60,Aheylite,"Al,Fe,Zn,O,P,H",5,5.5,3.22,3.22,"Very pale blue, pale green, to blue-green",Triclinic,1984,0
61,Ahlfeldite,"Ni,Se,O,H",2,2.5,3.37,3.37,"apple-green, brown, pink, yellowish",Monoclinic,1935,0
62,Aidrylite,"",,,0,0,,,,0
63,Aikinite,"Bi,Cu,Pb,S",2,2.5,7.06,7.08,"Blackish lead-grey",Orthorhombic,1843,0
64,Aikinite (of Lévy),"",,,0,0,,,,0
66,Ajoite,"Al,Cu,Na,Si,O,K,H",,,2.96,2.96,"Bluish green",Triclinic,1958,0
67,Akaganeite,"Cl,Fe,Ni,O,H",,,0,0,"Yellowish brown, rusty brown",Monoclinic,,0
68,Akatoreite,"Al,Mn,Si,O,H",6,6,3.48,3.48,"Yellow-orange to orange-brown",Triclinic,1969,0
69,Akdalaite,"Al,O,H",7,7.5,3.68,3.68,"White, pale greenish yellow in thin section",Hexagonal,,0
70,Åkermanite,"Ca,Mg,Si,O",5,6,2.944,2.944,"Colorless, yellowish gray, green, brown",Tetragonal,,0
71,Akhtenskite,"Mn,O",,,0,0,"Light grey to black",Hexagonal,,0
72,Akrochordite,"As,Mn,O,H",3.5,3.5,3.194,3.35,"Yellowish red-brown, pale to dark brown, pale pink,",Monoclinic,1915,0
73,Aksaite,"Mg,B,O,H",2.5,2.5,2.066,2.066,"Colorless, white to pale gray",Orthorhombic,1962,0
74,Aktashite,"As,Cu,Hg,S",3.5,3.5,5.5,5.5,"Gray-black",Trigonal,1968,0
75,Al-chamosite,"",,,0,0,,,,0
82,Alkali-garnet,"",,,0,0,,,,0
86,Alkali-Montmorillonite,"",,,0,0,,,,0
87,Aluminocopiapite,"Al,Fe,O,S,H",2,3,0,0,"Pale lemon-yellow to deep yellow",Triclinic,1947,0
89,Alabandite,"Mn,S",3.5,4,3.95,4.04,"Iron black, brown, greyish black, green; dull brown (tarnished)",Isometric,1832,0
91,Alacránite,"As,S",1.5,1.5,3.43,3.43,"Orange to pale gray with rose-yellow internal reflections",Monoclinic,1985,0
92,Alaite,"O,H,V",,,0,0,"Dark blood-red",,,0
93,Alamosite,"Pb,Si,O",4.5,4.5,6.488,6.488,"Colorless to white, cream, or light gray",Monoclinic,1909,0
94,Alarsite,"Al,As,O",5,5.5,0,0,"Colorless, with pale tints of yellow, green, blue due to inclusions",Trigonal,,0
95,Alaskaite,"",2,2,6.78,6.88,"Light lead-gray; bronzy tarnish",,,0
96,Albite,"Al,Na,Si,O",6,6.5,2.6,2.65,"White to gray or colorless, uncommonly blue tinted or rarely green or red tinted, while much included albite may be strongly colored",Triclinic,1815,0
97,Albrechtschraufite,"Ca,Mg,O,C,F,H,U",2,3,2.6,2.6,"Yellow-green",Triclinic,1983,0
99,Alcharite,"",,,0,0,,,,0
102,Alkali-Hastingsite,"",,,0,0,,,,0
103,Albrittonite,"Cl,Co,O,H",,,0,0,"Purple",,,0
104,Aldermanite,"Al,Mg,Na,O,P,F,H",2,2,0,0,"Colorless in transmitted light",Monoclinic,,0
105,Aldzhanite,"Ca,Cl,Mg,B,O,H",,,0,0,,,,0
106,Ferro-taramite,"Al,Ca,Fe,Na,Si,O,H",,,0,0,"Bluish green",Monoclinic,,0
107,Aluminium,"Al",2,3.5,2.707,2.707,"Grayish-White",Isometric,1978,0
108,Aleksite,"Bi,Pb,Te,S",2.5,2.5,0,0,"In polished section, very pale gray with slight greenish tint",Trigonal,1978,0
110,Alexandrolite,"Al,Cr,Si,O,H",,,0,0,,,,0
111,Alexjejewite,"",,,0,0,,,,0
112,Alforsite,"Ba,Cl,O,P",5,5,0,0,"Colorless",Hexagonal,1980,0
114,Algodonite,"As,Cu",4,4,8.38,8.38,"Steel-gray to silver-white, tarnishes dull on exposure",Hexagonal,1857,0
115,Aliettite,"Al,Ca,Mg,Si,O,H",1,2,0,0,"Colorless, pale yellow or green",Monoclinic,1968,0
116,Alipite,"Mg,Ni,Si,O,H",,,0,0,"Pale green",,,0
117,Alisonite,"Cu,Pb,S",,,0,0,,,,0
119,Alkali-apatite,"",,,0,0,,,,0
122,Allactite,"As,Mn,O,H",4.5,4.5,3.83,3.83,"Brown, dark to light purplish red, brownish red, colourless to white",Monoclinic,1884,0
123,Allagite,"",,,0,0,,,,0
125,Allanite-(Ce),"Al,Ca,Ce,Fe,Si,O,H",5.5,6,3.5,4.2,"Brown to black",Monoclinic,,0
126,Allanite-(La),"Al,Ca,Fe,La,Si,O,H",6,6,3.93,3.93,"Black, with brownish reflections",Monoclinic,,0
127,Allanite-(Y),"Al,Ca,Fe,Si,O,H,Y",5.5,6.5,3.5,4.2,"Black",Monoclinic,1949,0
128,Allargentum,"Ag,Sb",3.5,3.5,10.0,10.0,"Silver",Hexagonal,1950,0
129,Alleghanyite,"Mn,Si,O,H",5.5,5.5,3.93,4.02,"Pinkish to reddish brown, deep pink, grayish pink",Monoclinic,1932,0
130,Allemontite I,"",,,0,0,,,,0
131,Allemontite III,"",,,0,0,,,,0
133,Allevardite,"",,,0,0,,,,0
134,Alloclasite,"As,Co,Fe,S",5,5,5.95,5.95,"Steel gray to silver",Monoclinic,1866,0
135,Allokite,"",,,0,0,,,,0
136,Allomorphite,"",,,0,0,,,,0
137,Allophane-chrysocolla,"",,,0,0,,,,0
139,Allophane,"Al,Si,O,H",3,3,2.75,2.75,"White, pale blue to sky-blue, green, brown",Amorphous,1816,0
140,Allophite,"Al,Mg,Si,O,H",,,0,0,,,,0
141,Alluaivite,"Ca,Cl,Mn,Na,Nb,Si,Ti,O,H",5,6,2.76,2.76,"Colorless to weak brownish pink",Trigonal,1990,0
142,Alluaudite,"Ca,Fe,Mg,Mn,Na,O,P",5.5,6,3.4,3.5,"Dirty yellow to brownish yellow, grayish green; surficially dull greenish black, brownish black, black, when altered",Monoclinic,1848,0
143,Almbosite,"Fe,Si,O,V",,,0,0,"grey, blue",,,0
144,Almeraite,"",,,0,0,,,,0
145,Aloisiite,"Ca,Si,Na,Fe,Mg,O,H",,,0,0,,,,0
146,Alstonite,"Ba,Ca,O,C",4,4.5,3.67,3.711,"Colourless to snow white, yellow-gray; pale gray, pale cream, pink to pale rose-red",Triclinic,1841,0
147,Altaite,"Pb,Te",2,3,8.19,8.19,"Tin-white with a light yellow tint; yellow-brown, blue (tarnished)",Isometric,1845,0
148,Althausite,"Mg,O,P,F,H",3.5,4,2.97,2.97,"Pale gray, reddish brown; dark blue, green, black",Orthorhombic,1971,0
149,Althupite,"Al,Th,O,P,H,U",3.5,4,3.91,3.91,"Yellow",Triclinic,1986,0
150,Altisite,"Al,Cl,Na,Si,Ti,O,K",6,6,2.64,2.64,"Colourless",Monoclinic,1994,0
154,Aluminite,"Al,O,S,H",1,2,1.7,1.7,"White to yellow, grey; colourless in transmitted light.",Monoclinic,1807,0
157,Alumohydrocalcite,"Al,Ca,O,C,H",2.5,2.5,2.21,2.24,"Chalky white to pale blue, pale yellow, cream, gray; pale rose or brownish pink to dark violet in Cr-bearing varieties",Triclinic,1926,0
158,Pharmacoalumite,"Al,As,O,K,H",2.5,2.5,0,0,"White, pale yellow",Isometric,1980,0
159,Alumotantite,"Al,Ta,O",7.5,7.5,0,0,"Colourless to white",Orthorhombic,1981,0
161,Alunite,"Al,O,K,S,H",3.5,4,2.6,2.9,"white, pale shades of gray, yellow, red, to reddish brown",Trigonal,1824,0
162,Alunogen,"Al,O,S,H",1.5,2,0,0,"Colorless in crystals, aggregates white, or pale yellow or red from impurities.",Triclinic,,0
165,Alvanite,"Al,Zn,O,H,V",3,3.5,2.49,2.49,"Pale bluish green to bluish black.",Monoclinic,1959,0
167,Ammonium-mica,"",,,0,0,,,,0
168,Ammonium-Kainite,"Cl,Mg,N,O,S,H",,,0,0,,,,0
169,Ammonium-Bromcarnallite,"Br,Mg,N,O,H",,,0,0,,,,0
170,Ammonium-Leucite,"Al,Si,N,O,H",,,0,0,,,,0
171,Ammonium-Thomsonite,"Al,Ca,Si,Na,N,O,H",,,0,0,,,,0
172,Ammonium-Iodocarnallite,"",,,0,0,,,,0
174,Ammonium-Mesolite,"Al,Ca,Si,N,O,H",,,0,0,,,,0
175,Ammonium-Weeksite,"Si,N,O,H,U",,,0,0,,,,0
176,Ammonium-Eisenchlorid,"",,,0,0,,,,0
177,Ammonium-Laumontite,"Al,Ca,Si,N,O,H",,,0,0,,,,0
178,Ammonium-natrolite,"Si,N,O,H",,,0,0,,,,0
179,Ammonium-Stilbite,"Al,Si,N,O,H",,,0,0,,,,0
180,Amakinite,"Fe,O,H",3.5,4,2.925,2.98,"Pale green to yellow-green; rapidly turns brown when exposed to air, due to formation of Fe(OH)3",Trigonal,1962,0
182,Amarantite,"Fe,O,S,H",2.5,2.5,2.189,2.286,"Amaranth-red to brownish red and red-orange",Triclinic,1888,0
183,Amarillite,"Fe,Na,O,S,H",2.5,3,2.19,2.2,"Pale yellow with greenish tint.",Monoclinic,1933,0
185,Ammonium-Vermiculite,"",,,0,0,,,,0
186,Ammonium-Cryolite,"Al,N,F,H",,,0,0,,,,0
187,Ammonium-Boltwoodite,"Si,N,O,H,U",,,0,0,,,,0
189,Amblygonite,"Al,Li,O,P,F",5.5,6,3.04,3.11,"Milk-white, yellow, beige, salmon-pink, pale green, light blue, grey; colourless in transmitted light.",Triclinic,1817,0
190,Ammonium-Illite,"",,,0,0,,,,0
191,Ammonium-Heulandite,"Al,Ca,Si,N,O,H",,,0,0,,,,0
192,Ammonium-Chabazite,"Al,Ca,Si,N,O,H",,,0,0,,,,0
193,Ammonium-Carnallite,"Cl,Mg,N,O,H",,,0,0,,,,0
194,Ammonium-Uranospinite,"As,N,O,H,U",,,0,0,,Tetragonal,,0
195,Ameghinite,"Na,B,O,H",2,3,2.030,2.030,"Colourless",Monoclinic,1966,0
197,Amesite,"Al,Mg,Si,O,H",2.5,3,2.77,2.78,"Commonly pale grayish blue-green, also white, colourless, pale green, pink to lilac (chromian)",Triclinic,,0
199,Amicite,"Al,Na,Si,O,K,H",4.5,4.5,2.06,2.23,"Colorless",Monoclinic,1979,0
200,Aminoffite,"Al,Be,Ca,Si,O,H",5.5,6,2.94,2.94,"Colorless to light yellowish.",Tetragonal,1937,0
202,Ammiolite,"",,,0,0,"Deep red, scarlet",,,0
203,Ammonioalunite,"Al,N,O,S,H",2,3,2.4,2.4,"Grayish white",Trigonal,1988,0
204,Ammonioborite,"N,B,O,H",,,1.765,1.765,"White; colourless in transmitted light",Monoclinic,1931,0
205,Ammoniojarosite,"Fe,N,O,S,H",3.5,4.5,0,0,"Light yellow; light yellow to nearly colourless in transmitted light.",Trigonal,1927,0
206,Ammonioleucite,"Al,Si,N,O,H",5.5,6,2.29,2.29,"White",Tetragonal,1986,0
208,Amstallite,"Al,Ca,Cl,Si,O,H",3,5,2.40,2.40,"Colourless",Monoclinic,1987,0
209,Antimony Ochre,"",,,,,,,,0
210,Analcime,"Al,Na,Si,O,H",5,5.5,2.24,2.29,"White, colourless, gray, pink, green, yellow",Triclinic,,0
211,Anapaite,"Ca,Fe,O,P,H",3.5,3.5,2.81,2.81,"Green, greenish-white, milky white, colorless; colourless to light green in transmitted light.",Triclinic,1902,0
213,Anatase,"Ti,O",5.5,6,3.79,3.97,"Brown, pale yellow or reddish brown, indigo, black; pale green, pale lilac, grey, rarely nearly colourless; brown, yellow-brown, pale green, blue in transmitted light.",Tetragonal,1801,0
214,Anauxite,"",,,0,0,"Pearly white",,1838,0
216,Ancylite-(Ce),"Ce,Sr,O,C,H",4,4.5,3.95,3.95,"Light yellow, orange-yellow, yellow-brown, grey",Orthorhombic,1897,0
217,Andalusite,"Al,Si,O",6.5,7.5,3.13,3.21,"Pink to red brown, occasionally yellow, green, white, gray rarely violet",Orthorhombic,,0
218,Anderbergite,"Ca,Si,Zr,O,H",,,0,0,,,,0
219,Andersonite,"Ca,Na,O,C,H,U",2.5,2.5,2.8,2.8,"Bright green to yellow-green.",Trigonal,1948,0
221,Andesine-oligoclase,"",,,0,0,,,,0
222,Andorite,"Ag,Pb,Sb,S",3.5,3.5,5.33,5.37,"Dark grey.",Orthorhombic,1892,0
223,Andradite,"Ca,Fe,Si,O",6.5,7,3.8,3.9,"Yellow, greenish yellow to emerald-green, dark green; brown, brownish red, brownish yellow; grayish black, black; may be sectored",Isometric,1800,0
224,Andreattite,"",,,0,0,,,,0
225,Andrémeyerite,"Ba,Fe,Si,O",5.5,5.5,4.15,4.15,"light emerald-green",Monoclinic,1972,0
227,Anduoite,"As,Os,Ru",6.5,7,,0,"lead gray",Orthorhombic,1979,0
228,Anemolite,"",,,0,0,,,,0
229,Anemousite,"",,,0,0,,,,0
231,Angelellite,"As,Fe,O",5.5,5.5,4.867,4.867,"Reddish brown, blackish brown, dark brown",Triclinic,1959,0
233,Anglesite,"Pb,O,S",2.5,3,6.37,6.39,"Colorless to white, often tinted grey, yellow, green or  blue; colourless in transmitted light.",Orthorhombic,1832,0
234,Anhydrite,"Ca,O,S",3,3.5,2.98,2.98,"Colourless, bluish, blue-grey, violet, burgundy-red, white, rose-pink, brownish, reddish, grey, dark grey; colourless in transmitted light",Orthorhombic,1804,0
235,Anhydrokainite,"Cl,Mg,O,K,S",,,0,0,,,,0
236,Anilite,"Cu,S",3,3,0,0,"Bluish-Grey",Orthorhombic,1969,0
237,Animikite,"",,,0,0,,,,0
239,Ankerite,"Ca,Fe,Mg,O,C",3.5,4,2.93,3.10,"Brown, white to grey, yellowish-brown, tan, fawn, greenish",Trigonal,1825,0
240,Annabergite,"As,Ni,O,H",1.5,2.5,3.07,3.07,"Green, light grey to light apple green, white; pale rose red when rich in cobalt.",Monoclinic,1852,0
241,Annite,"Al,Fe,Si,O,K,H",2.5,3,3.3,3.3,"Black, brown",Monoclinic,1868,0
243,Anomalite,"",,,0,0,,,1876,0
246,Anorthite,"Al,Ca,Si,O",6,6.5,2.74,2.76,"Colourless, reddish grey, white",Triclinic,1823,0
249,Anosovite,"Ti,O",,,0,0,,,,0
250,Antamokite,"",,,0,0,,,,0
251,Antarcticite,"Ca,Cl,O,H",2,3,1.715,1.715,"Colourless",Trigonal,1965,0
252,Anthoinite,"Al,O,H,W",1,1,4.78,4.87,"White (when free of iron)",Triclinic,,0
253,Anthonyite,"Cl,Cu,O,H",2,2,0,0,"Lavender",Monoclinic,1963,0
254,Anthophyllite,"Mg,Si,O,H",5.5,6,2.85,3.57,"White, greenish grey, green, clove brown, or brownish green",Orthorhombic,1801,0
255,Anthosiderite,"",,,0,0,,,,0
257,Anthraconite,"",,,0,0,,,,0
258,Anthracoxene,"",,,0,0,,,,0
259,Anthrophyllite,"",,,0,0,,,,0
260,Antigorite,"Mg,Si,O,H",3.5,4,2.5,2.6,"Green, green-blue, white, brown, black",Monoclinic,1840,0
262,Antimony,"Sb",3,3.5,6.61,6.71,"Tin-white",Trigonal,,0
263,Antimonial Arsenic,"Sb,As",,,0,0,,,,0
266,Antimonselite,"Sb,Se",3.5,3.5,0,0,"Black",Orthorhombic,1993,0
268,Antlerite,"Cu,O,S,H",3.5,3.5,3.88,3.88,"Emerald-green to blackish-green, also light green.",Orthorhombic,1889,0
270,Antrimolite,"",,,0,0,,,,0
271,Anyuiite,"Au,Pb",3.5,3.5,0,0,"Silvery grey",Tetragonal,1989,0
272,Apachite,"Cu,Si,O,H",2,2,2.80,2.80,"Blue (""faience-blue"")",Monoclinic,1980,0
273,Apatelite,"Fe,O,S,H",,,0,0,,,,0
275,Apatoid,"",,,0,0,,,,0
276,Aphrite (of Karsten),"Ca,O,C",,,0,0,,,,0
278,Aphrosiderite,"Al,Fe,Mg,Si,O,H",,,0,0,,,,0
279,Aphrowad,"",,,0,0,,,,0
280,Aphthitalite,"Na,O,K,S",3,3,2.656,2.71,"Colourless (rare), white, grey, bluish, greenish, reddish; colourless in transmitted light",Trigonal,1813,0
281,Apjohnite,"Al,Mn,O,S,H",1.5,2,1.78,1.81,"Colourless, white, light pink, light yellow, light green",Monoclinic,1847,0
282,Aplowite,"Co,Mn,Ni,O,S,H",3,3,2.33,2.33,"Bright pink",Monoclinic,1965,0
285,Apuanite,"Fe,Sb,O,S",4,5,5.33,5.33,"Black",Tetragonal,1979,0
286,Aquacreptite (of Harada),"Si,Mg,O,H",,,0,0,,,,0
287,Aquacreptite (of Shepard),"Al,Fe,Mg,Si,O,H",2.5,2.5,2.08,2.08,"Yellowish brown",,,0
288,Aquacreptite,"",,,0,0,,,,0
290,Argentojarosite,"Ag,Fe,O,S,H",3.5,4.5,3.66,3.66,"Yellow-brown to brown.",Trigonal,1923,0
291,Argentopentlandite,"Ag,Fe,Ni,S",3.5,3.5,0,0,"Bronze brown",Isometric,1977,0
292,Arsenogoyazite,"Al,As,Sr,O,H",4,4,3.355,3.355,"White to colorless, pale yellow, pale green, grayish-green",Trigonal,1984,0
294,Arsenolite,"As,O",1.5,1.5,3.86,3.88,"White, bluish; reddish to yellowish if impure with realgar or orpiment; colourless in transmitted light",Isometric,1854,0
295,Arsenoflorencite-(La),"Al,As,La,O,H",3.5,3.5,4.15,4.15,"Orange–red to pink.",Trigonal,,0
296,Arsenoflorencite-(Nd),"Al,As,Nd,O,H",3.5,3.5,0,0,,Trigonal,,0
299,Argentopyrite,"Ag,Fe,S",3.5,4,4.25,4.25,"Bronze-brown, tarnishing to lead-grey to blue-gray.",Monoclinic,1868,0
301,Arsenohauchecornite,"As,Bi,Ni,S",5.5,5.5,6.35,6.35,"Bronze",Tetragonal,1980,0
302,Arsenotellurite,"As,Te,S",,,0,0,,,,0
303,Arsenopalladinite,"As,Pd,Sb",4,4,10.40,10.40,"Yellowish, creamy white in reflected light.",Triclinic,1955,0
304,Arsenogorceixite,"Al,As,Ba,O,H",4,4,3.655,3.655,"White, yellowish white, yellow, greenish yellow, greenish, pale blue, colourless.",Trigonal,1991,0
305,Arsenopyrite,"As,Fe,S",5.5,6,6.07,6.07,"Silver-white to steel-gray, may have a slight yellow appearance",Monoclinic,1847,0
307,Aragonite,"Ca,O,C",3.5,4,2.947,2.947,"Colorless to white or grey, often stained various hues by impurities, such as blue, green, red or violet; colourless in transmitted light.",Orthorhombic,1797,0
308,Aragotite,"C,H",,,0,0,,,,0
310,Aramayoite,"Ag,Bi,Sb,S",2.5,2.5,5.602,5.602,"Iron-black; deep red (transmitted light)",Triclinic,1926,0
311,Aravaipaite,"Al,Pb,O,F,H",2,2,0,0,"Colourless",Triclinic,1988,0
312,Arsenolamprite,"As",2,2,5.3,5.5,"Grey-white.",Orthorhombic,1823,0
314,Arcanite,"O,K,S",2,2,2.663,2.663,"Colourless, white, yellow",Orthorhombic,1845,0
315,Archerite,"N,O,P,K,H",1,2,0,0,"White",Tetragonal,1977,0
316,Arctite,"Ca,Na,O,P,F",5,5,3.13,3.13,"Colorless:",Trigonal,1981,0
317,Arctolite,"Al,Ca,Mg,Si,O,H",,,0,0,"Colorless to pale yellow or green",,,0
318,Arcubisite,"Ag,Bi,Cu,S",,,0,0,"Gray",,1976,0
319,Argentotennantite-(Zn),"Ag,As,Cu,Zn,S",3.5,3.5,0,0,"Grey black",Isometric,1986,0
320,Ardaite,"Cl,Pb,Sb,S",2.5,3,0,0,"Greenish gray or bluish green",Monoclinic,1982,0
321,Ardealite,"Ca,O,P,S,H",1,1.5,2.30,2.34,"Light yellow, yellow, brownish yellow, colourless",Monoclinic,1931,0
322,Ardennite-(As),"Al,As,Mg,Mn,Si,O,H",6,7,3.69,3.75,"Yellow to Brown",Orthorhombic,1872,0
323,Ardmorite,"",,,0,0,,,,0
324,Arequipite,"",,,0,0,"Honey-yellow",,,0
325,Arfvedsonite,"Fe,Na,Si,O,H",5,6,3.3,3.5,"Bluish-black to black.",Monoclinic,1823,0
326,Argentite,"Ag,S",,,,,,Isometric,,0
330,Argutite,"Ge,O",6,7,0,0,,Tetragonal,1983,0
331,Argyrodite,"Ag,Ge,S",2.5,3,6.29,6.29,"grey, black",Orthorhombic,1886,0
332,Argyropyrite,"Ag,Fe,S",,,0,0,,,,0
333,Arhbarite,"As,Cu,Mg,O,H",,,3.71,0,"Dark blue to medium blue",Triclinic,1982,0
334,Aristarainite,"Mg,Na,B,O,H",3.5,3.5,2.027,2.027,"Colourless, white",Monoclinic,1973,0
336,Arizonite (of Hanks),"",,,0,0,,,,0
338,Arizonite (of Palmer),"",5.5,5.5,4.25,4.25,"Dark steel-grey (fresh surfaces)",,,0
341,Armalcolite,"Fe,Mg,Ti,O",5,5,4.94,4.94,"Grey",Orthorhombic,1970,0
342,Armangite,"As,Mn,O,C,H",4,4,4.43,4.43,"Black to pale brown; yellow to brown in transmitted light",Trigonal,1920,0
343,Armenite,"Al,Ba,Ca,Si,O,H",7.5,7.5,2.77,2.77,"Colourless, white, green",Orthorhombic,1939,0
344,Armstrongite,"Ca,Si,Zr,O,H",4.5,4.5,2.562,2.593,"Dark to light brown",Monoclinic,1973,0
346,Aromite,"",,,0,0,,,,0
348,Aromite (of Mueller),"",,,0,0,,,,0
350,Arrhenite,"Ca,Er,Si,Ta,Zr,O,Y",,,0,0,,,,0
351,Arrojadite-(KFe),"Al,Ca,Fe,Na,O,P,K,H",5,5,3.527,3.527,"Olive-green",Monoclinic,1925,0
353,Antimony-bearing Gersdorffite,"As,Ni,Sb,S",,,0,0,,,,0
354,Arsenargentite,"Ag,As",,,0,0,,,,0
356,Arsendescloizite,"As,Pb,Zn,O,H",4,4,,0,"Pale yellow to deep green, greyish brown",Orthorhombic,1982,0
357,Arsenic,"As",3.5,3.5,5.63,5.78,"Tin-white, tarnishing to dark grey or black.",Trigonal,Anci,0
359,Arseniopleite,"As,Ca,Mn,Na,O",3.5,3.5,4.17,4.22,"Brownish-red, also cherry red, gray, yellow, dark green; orange, pale apricot-orange or brownish orange in transmitted light.",Monoclinic,1888,0
360,Arseniosiderite,"As,Ca,Fe,O,H",4.5,4.5,3.58,3.6,"Golden-yellow to yellow-brown, reddish-brown, brown, black",Monoclinic,1842,0
362,Arsennickeleisen,"As,Fe,Ni",,,0,0,,,,0
363,Arsenobismite,"",,,0,0,"Yellowish-brown, yellowish-green",,,0
364,Arsenoclasite,"As,Mn,O,H",5,6,4.16,4.16,"Red, dark orange-brown.",Orthorhombic,1931,0
365,Arsenocrandallite,"Al,As,Ca,O,H",5.5,5.5,3.25,3.25,"White, creamy yellowish-white, also blue to bluish-green",Trigonal,1981,0
366,Arsenoflorencite-(Ce),"Al,As,Ce,O,H",3.5,3.5,4.096,4.096,"Colourless to white, light brown",Trigonal,1985,0
368,Arsenschwefel,"As,O,S,H",,,0,0,,,,0
369,Arsenstruvite,"As,Mg,N,O,H",,,0,0,,,,0
371,Arsenthorite,"",,,0,0,,,,0
372,Arsentsumebite,"As,Cu,Pb,O,S,H",4,5,6.46,6.46,"Emerald-green, grass-green, apple-green, pale bluish green.",Monoclinic,1935,0
373,Arsenuranospathite,"Al,As,O,F,H,U",2,2,0,0,"Pale yellow",Orthorhombic,1959,0
